transaction_id,account_id,account_type,date,merchant_name,raw_description,amount,currency,pending,category
amex_1008_a644368d34aa,amex_cc_1008,credit_card,2026-06-06,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,-100.0,USD,False,Transfers
amex_1008_b95e50107185,amex_cc_1008,credit_card,2026-06-14,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,-365.0,USD,False,Transfers
amex_1008_0897fbd5a162,amex_cc_1008,credit_card,2026-06-17,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,-240.0,USD,False,Transfers
amex_1008_c5412ad7ff02,amex_cc_1008,credit_card,2026-06-05,AplPay ARCO#02134M & S ARCO AM SAN JOSE CA,AplPay ARCO#02134M & S ARCO AM SAN JOSE CA,33.15,USD,False,Gas & Fuel
amex_1008_bf54be96ea2c,amex_cc_1008,credit_card,2026-06-05,AplPay TOTAL WINE AND MORE 1127 1127 SAN JOSE CA,AplPay TOTAL WINE AND MORE 1127 1127 SAN JOSE CA,27.6,USD,False,Shopping
amex_1008_c7898e3fa8fe,amex_cc_1008,credit_card,2026-06-06,AplPay DD *DOORDASH GOPUFF SAN FRANCISCO CA,AplPay DD *DOORDASH GOPUFF SAN FRANCISCO CA,17.45,USD,False,Restaurants
amex_1008_15cedaa2e0b1,amex_cc_1008,credit_card,2026-06-06,AplPay ARCO#02134M & S ARCO AM SAN JOSE CA,AplPay ARCO#02134M & S ARCO AM SAN JOSE CA,17.12,USD,False,Gas & Fuel
amex_1008_6415343c27b4,amex_cc_1008,credit_card,2026-06-07,AplPay ATALIA GELATO AND CHOCOLATE Sausalito CA,AplPay ATALIA GELATO AND CHOCOLATE Sausalito CA,10.74,USD,False,
amex_1008_a33beccdc9e0,amex_cc_1008,credit_card,2026-06-07,AplPay ACADEMIC COFFEE Santa Clara CA,AplPay ACADEMIC COFFEE Santa Clara CA,13.5,USD,False,Coffee Shops
amex_1008_de53bc96d330,amex_cc_1008,credit_card,2026-06-07,AplPay WHOLEFDS SCA #10633 000010633 SANTA CLARA CA,AplPay WHOLEFDS SCA #10633 000010633 SANTA CLARA CA,72.26,USD,False,Groceries
amex_1008_2fa42c543419,amex_cc_1008,credit_card,2026-06-07,AplPay TARGET T-2581 000002581 SAN JOSE CA,AplPay TARGET T-2581 000002581 SAN JOSE CA,49.49,USD,False,Shopping
amex_1008_e99fcbe73c1f,amex_cc_1008,credit_card,2026-06-09,AplPay 7-ELEVEN 25950 00072595022 SUNNYVALE CA,AplPay 7-ELEVEN 25950 00072595022 SUNNYVALE CA,34.65,USD,False,Convenience Store
amex_1008_457fdce5cae6,amex_cc_1008,credit_card,2026-06-11,AplPay XPRESS GAS & MART 5 INC SANTA CLARA CA,AplPay XPRESS GAS & MART 5 INC SANTA CLARA CA,60.0,USD,False,
amex_1008_86f1e57ba44c,amex_cc_1008,credit_card,2026-06-11,AplPay NAMASTE PLAZA SUNNYVALE CA,AplPay NAMASTE PLAZA SUNNYVALE CA,10.99,USD,False,
amex_1008_7640c9733193,amex_cc_1008,credit_card,2026-06-13,AMAZON MARKETPLACE NA PA AMZN.COM/BILL WA,AMAZON MARKETPLACE NA PA AMZN.COM/BILL WA,229.51,USD,False,Shopping
amex_1008_1f34186cfdbf,amex_cc_1008,credit_card,2026-06-13,AplPay 7-ELEVEN 14236 00071423601 SANTA CLARA CA,AplPay 7-ELEVEN 14236 00071423601 SANTA CLARA CA,7.9,USD,False,Convenience Store
amex_1008_1d5ec6bdb678,amex_cc_1008,credit_card,2026-06-13,AplPay SPORTS BASEMENT CAMPBELL CA,AplPay SPORTS BASEMENT CAMPBELL CA,331.49,USD,False,Shopping
amex_1008_0920f959f792,amex_cc_1008,credit_card,2026-06-16,AplPay AMC 0433 BAR SARATOGA 0433 SAN JOSE CA,AplPay AMC 0433 BAR SARATOGA 0433 SAN JOSE CA,22.99,USD,False,Entertainment
amex_1008_c4dc4e038bf1,amex_cc_1008,credit_card,2026-06-21,AplPay TST* THE VILLAGE BAKERY - 00045658 WOODSIDE CA,AplPay TST* THE VILLAGE BAKERY - 00045658 WOODSIDE CA,9.52,USD,False,Restaurants
amex_1008_62734e92f4e8,amex_cc_1008,credit_card,2026-06-24,AplPay TARGET T-2581 000002581 SAN JOSE CA,AplPay TARGET T-2581 000002581 SAN JOSE CA,13.85,USD,False,Shopping
amex_1008_ccc138802b7a,amex_cc_1008,credit_card,2026-07-01,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,-409.59,USD,False,Transfers
